MONTH,RAINFALL(mm)2013,RAINFALL(mm)2014,RAINFALL(mm)2015,RAINFALL(mm)2016,Evapotranspiration(mm)2013,Evapotranspiration(mm)2014,Evapotranspiration(mm)2015,Evapotranspiration(mm)2016,Water Yeild2013,Water Yeild2014,Water Yeild2015,Water Yeild2016
JANUARY,1.462452047,0,1.634505229,0,5.178800778,7.785406486,4.843297073,5.755178938,4.11207105,0.920484524,0.550570182,0.464543591
FEBRUARY,28.56082821,16.34505229,18.92585002,6.02186137,10.28017762,16.77518525,6.770292712,5.342251301,0.972100478,0.335503705,0.197861159,0.180655841
MARCH,0,8.292963372,3.707746072,2.666824321,38.31624363,33.03421094,30.60826108,30.37598928,0.696815387,0.146245205,0.09462925,0.068821273
APRIL,13.33412161,9.376898419,7.656366599,8.086499554,77.0454149,56.17536392,41.01747859,38.7635819,0.206463818,0.060218614,0.043013296,0.025807977
MAY,17.2053182,5.505701824,2.752850912,0,0.688212728,3.957223186,16.76658259,36.3462347,0.086026591,0.034410636,5.144390142,0.438735614
JUNE,169.730464,25.20579116,134.6316149,112.2647013,13.96211572,10.83935047,37.95493195,27.69195964,0.043013296,0.57637816,0.129039887,58.11956488
JULY,389.1842977,78.11214463,44.47574755,302.5555205,31.21044721,27.01234957,46.63501498,50.56643019,81.88010931,83.10168691,7.768201167,138.5888381
AUGUST,171.7090756,167.9239056,111.4044353,88.09122918,36.08815492,40.94865732,40.26904725,44.35531032,91.17098114,30.72869831,62.64456357,167.4077461
SEPTEMBER,113.5551001,96.95196806,101.4253508,259.542225,34.20417258,32.34599822,37.78287877,38.22161438,156.2673026,43.29718325,35.58059804,161.9020443
OCTOBER,94.37117033,9.204845237,24.08744548,0,22.11743655,16.00094593,22.4013243,23.39923275,53.3622944,58.30022072,19.4764202,0
NOVEMBER,11.95769615,6.88212728,3.44106364,0,9.127421305,8.086499554,14.19438752,11.61358979,24.31111462,29.79100846,11.63939776,0
DECEMBER,0,0,0,0,6.434789007,3.871196595,8.086499554,6.279941143,12.65451154,16.52570813,8.800520259,0
